nome;morada;postal;localidade;lat;lng;codigo;
Escola Básica de São João do Sobrado, Sobrado, Valongo;Rua de Fijós  ;4440 - 334 sobrado;Sobrado;41.215363;-8.46551;1315777;
Escola Básica de São João do Souto, Braga;Largo S. João do Souto, nº 27  ;4700 - 326 braga;Braga;41.549652;-8.424937;303172;
Escola Básica de São Lourenço, Balteiro, Vila Nova de Gaia;R. dos Bairros da Câmara  ;4430 - 334 vila nova de gaia;Balteiro-Vilar do Andorinho;41.09741;-8.575226;1317044;
Escola Básica de São Lourenço, Castelo de Paiva;Rua Manuel Carvalho Pereira  ;4550 - 043 bairros;S. Lourenço;41.036068;-8.244193;106295;
Escola Básica de São Lourenço, Ermesinde, Valongo;R. da Escola da Costa  ;4445 - 420 ermesinde;Ermesinde;41.214474;-8.546857;1315189;
Escola Básica de São Lourenço, Penafiel;S. Lourenço  ;4560 - 409 paço de sousa;Paço de Sousa;41.167828;-8.331751;1311131;
Escola Básica de São Lázaro, Braga;R. de Damão  ;4710 - 232 braga;Braga;41.54901;-8.420125;303235;
Escola Básica de São Martinho de Mouros, Resende;Rua do Eido, 262  ;4660 - 361 são martinho de mouros;São Martinho de Mouros;41.10461;-7.899313;1813756;
Escola Básica de São Martinho de Recezinhos, Penafiel;Torre de Cima  ;4560 - 807 são martinho recezinhos;S. Martinho de Recesinhos;41.224564;-8.215766;1311717;
Escola Básica de São Martinho, Moimenta da Beira;São Martinho  ;3620 - 442 peva mbr;S. Martinho;40.88176;-7.6963315;1807371;
Escola Básica de São Martinho, São Martinho do Campo, Santo Tirso;R. da Escola Secundária  ;4795 - 468 são martinho campo;S. Martinho do Campo;41.35928;-8.368756;1314807;
Escola Básica de São Miguel de Nevogilde, Porto;R. da Escola, s/n  ;4150 - 295 porto;Porto;41.15961;-8.679849;1312257;
Escola Básica de São Miguel, Olival, Vila Nova de Gaia;R. das Minas  ;4415 - 766 olival vng;Olival;41.05027;-8.521536;1317170;
Escola Básica de São Miguel, São Miguel-o-Anjo, Vila Nova de Famalicão;Rua de S Miguel-O-Anjo - nº 436  ;4760 - 284 vila nova de famalicão;S. Miguel-o-Anjo;41.389706;-8.53005;312579;
Escola Básica de São Nicolau, Porto;Calçada do Forno Velho n.º 21  ;4050 - 009 porto;Porto;41.141262;-8.617583;1312405;
Escola Básica de São Paio, Canidelo, Vila Nova de Gaia;Rua de Bustes - S. Paio  ;4400 - 394 vila nova de gaia;Canidelo;41.13703;-8.644619;1317964;
Escola Básica de São Pedro da Cova, Gondomar;R. Rio Ferreira  ;4510 - 418 são pedro da cova;S. Pedro da Cova;41.14931;-8.506055;1304945;
Escola Básica de São Pedro de Vale do Conde, Mirandela;S. Pedro de Vale do Conde  ;5370 - 160 marmelos;S. Pedro de Vale do Conde;41.427704;-7.2073765;407265;
Escola Básica de São Pedro, Baião;Sra do Socorro - S. Pedro  ;4640 - 469 santa marinha do zêzere;S. Pedro;41.12541;-7.961537;1302099;
