nome;lat;lng;link
Câmara Municipal de Marco de Canaveses;41.13719;-8.30511;http://portalnacional.com.pt/entidade/camara-municipal-de-marco-de-canaveses-143/
Câmara Municipal de Marvão;39.37434;-7.38900;http://portalnacional.com.pt/entidade/camara-municipal-de-marvao-144/
Câmara Municipal de Matosinhos;41.19678;-8.69647;http://portalnacional.com.pt/entidade/camara-municipal-de-matosinhos-145/
Câmara Municipal de Meda;40.91285;-7.28232;http://portalnacional.com.pt/entidade/camara-municipal-de-meda-146/
Câmara Municipal de Melgaco;42.09146;-8.26492;http://portalnacional.com.pt/entidade/camara-municipal-de-melgaco-147/
Câmara Municipal de Mértola;37.55926;-7.76982;http://portalnacional.com.pt/entidade/camara-municipal-de-mertola-148/
Câmara Municipal de Mesão Frio;41.19610;-7.86373;http://portalnacional.com.pt/entidade/camara-municipal-de-mesao-frio-149/
Câmara Municipal de Mira;40.46147;-8.72366;http://portalnacional.com.pt/entidade/camara-municipal-de-mira-150/
Câmara Municipal de Miranda do Corvo;40.05534;-8.31595;http://portalnacional.com.pt/entidade/camara-municipal-de-miranda-do-corvo-151/
Câmara Municipal de Miranda do Douro;41.42866;-6.34602;http://portalnacional.com.pt/entidade/camara-municipal-de-miranda-do-douro-152/
Câmara Municipal de Mirandela;41.44629;-7.11345;http://portalnacional.com.pt/entidade/camara-municipal-de-mirandela-153/
Câmara Municipal de Mogadouro;41.26636;-6.62567;http://portalnacional.com.pt/entidade/camara-municipal-de-mogadouro-154/
Câmara Municipal de Moimenta da Beira;40.94940;-7.54613;http://portalnacional.com.pt/entidade/camara-municipal-de-moimenta-da-beira-155/
Câmara Municipal de Moncão;42.07956;-8.35529;http://portalnacional.com.pt/entidade/camara-municipal-de-moncao-156/
Câmara Municipal de Monchique;37.31802;-8.55602;http://portalnacional.com.pt/entidade/camara-municipal-de-monchique-157/
Câmara Municipal de Moncorvo;41.08268;-7.02280;http://portalnacional.com.pt/entidade/camara-municipal-de-moncorvo-158/
Câmara Municipal de Mondim de Basto;41.40645;-7.90677;http://portalnacional.com.pt/entidade/camara-municipal-de-mondim-de-basto-159/
Câmara Municipal de Monforte;39.09353;-7.51189;http://portalnacional.com.pt/entidade/camara-municipal-de-monforte-160/
Câmara Municipal de Montalegre;41.85633;-7.63459;http://portalnacional.com.pt/entidade/camara-municipal-de-montalegre-161/
Câmara Municipal de Montemor-O-Novo;38.60154;-8.32451;http://portalnacional.com.pt/entidade/camara-municipal-de-montemor-o-novo-162/
Câmara Municipal de Montemor-O-Velho;40.12663;-8.69033;http://portalnacional.com.pt/entidade/camara-municipal-de-montemor-o-velho-163/
Câmara Municipal de Mora;38.89283;-8.01759;http://portalnacional.com.pt/entidade/camara-municipal-de-mora-164/
Câmara Municipal de Mortágua;40.40618;-8.24641;http://portalnacional.com.pt/entidade/camara-municipal-de-mortagua-165/
Câmara Municipal de Moura;38.14311;-7.45024;http://portalnacional.com.pt/entidade/camara-municipal-de-moura-166/
Câmara Municipal de Mourão;38.38483;-7.34662;http://portalnacional.com.pt/entidade/camara-municipal-de-mourao-167/
Câmara Municipal de Murça;41.43321;-7.51734;http://portalnacional.com.pt/entidade/camara-municipal-de-murca-168/
Câmara Municipal de Murtosa;40.76463;-8.71104;http://portalnacional.com.pt/entidade/camara-municipal-de-murtosa-169/
Câmara Municipal de Nelas;40.55916;-7.86595;http://portalnacional.com.pt/entidade/camara-municipal-de-nelas-170/
Câmara Municipal de Nisa;39.42378;-7.71850;http://portalnacional.com.pt/entidade/camara-municipal-de-nisa-171/
Câmara Municipal de Óbidos;39.36451;-9.21118;http://portalnacional.com.pt/entidade/camara-municipal-de-obidos-172/
Câmara Municipal de Odemira;37.72772;-8.78527;http://portalnacional.com.pt/entidade/camara-municipal-de-odemira-173/
Câmara Municipal de Odivelas;38.79267;-9.18272;http://portalnacional.com.pt/entidade/camara-municipal-de-odivelas-174/
Câmara Municipal de Oeiras;38.69735;-9.30836;http://portalnacional.com.pt/entidade/camara-municipal-de-oeiras-175/
Câmara Municipal de Oleiros;39.95372;-8.01610;http://portalnacional.com.pt/entidade/camara-municipal-de-oleiros-176/
Câmara Municipal de Olhão;37.02654;-7.84045;http://portalnacional.com.pt/entidade/camara-municipal-de-olhao-177/
Câmara Municipal de Oliveira de Azeméis;40.87156;-8.49330;http://portalnacional.com.pt/entidade/camara-municipal-de-oliveira-de-azemeis-178/
Câmara Municipal de Oliveira de Frades;40.73292;-8.15377;http://portalnacional.com.pt/entidade/camara-municipal-de-oliveira-de-frades-179/
Câmara Municipal de Oliveira do Bairro;40.49771;-8.56129;http://portalnacional.com.pt/entidade/camara-municipal-de-oliveira-do-bairro-180/
Câmara Municipal de Oliveira do Hospital;40.30633;-7.92300;http://portalnacional.com.pt/entidade/camara-municipal-de-oliveira-do-hospital-181/
Câmara Municipal de Ourém;39.65791;-8.57877;http://portalnacional.com.pt/entidade/camara-municipal-de-ourem-182/
Câmara Municipal de Ourique;37.49961;-8.30024;http://portalnacional.com.pt/entidade/camara-municipal-de-ourique-183/
