nome;morada;postal;localidade;lat;lng;codigo
Escola Básica de Fonte Seca, Santa Maria da Feira;Rua da Escola,257  ;4520 - 607 são joão de ver;Fonte Seca;40.96771;-8.545449;109096
Escola Básica de Fonteleite, São Romão do Coronado, Trofa;R. António Sérgio  ;4745 - 561 são romão coronado;S. Romão do Coronado;41.276947;-8.546521;1314102
Escola Básica de Fontes, Santa Marta de Penaguião;Fontes Sta Marta de Penaguiao  ;5030 - 129 fontes smp;Fontes;41.22862;-7.814173;1711076
Escola Básica de Fontiela, Pousada, Vila Nova de Gaia;Rua da Fraternidade, 70 ( Fontiela )  ;4430 - 835 avintes;Pousada - Avintes;41.104145;-8.547374;1317038
Escola Básica de Fontão, Felgueiras;Fontão  ;4610 - 000 felgueiras;Fontão;41.368866;-8.1739;1303615
Escola Básica de Foral, Santo Tirso;Rua 1º de Dezembro  ;4780 - 380 santo tirso;Santo Tirso;41.343616;-8.493501;1314563
Escola Básica de Formariz, Vila do Conde;R. Capitão Carlos Fonseca  ;4480 - 737 vila do conde;Vila do Conde;41.361034;-8.7264595;1316558
Escola Básica de Fornelos, Fafe;Panelada  ;4820 - 422 fornelos faf;Fornelos;41.467785;-8.17681;307478
Escola Básica de Fradelos, Braga;R. da Escola-Fradelos  ;4705 - 684 fradelos brg;Fradelos;41.50759;-8.474787;303996
Escola Básica de Fragoso, Barcelos;Lugar das Carvalhas  ;4905 - 097 fragoso;Fragoso;41.61272;-8.713987;302185
Escola Básica de Fraião, Barcelos;Avenida Central (CM 1074)  ;4750 - 695 silva bcl;Fraião;41.548378;-8.5944805;302593
Escola Básica de Fraião, Braga;R. da Boavista-Fraião  ;4715 - 130 braga;Boavista;41.53317;-8.396597;303710
Escola Básica de Francelos, Vila Nova de Gaia;R. Fernandes Barbosa  ;4405 - 659 vila nova de gaia;Francelos;41.08239;-8.644104;1317720
Escola Básica de Frazão, Paços de Ferreira;Rua dos Mirantes, 76 - Apartado 75  ;4590 - 000 paços de ferreira;Frazão;41.25927;-8.419404;1309931
Escola Básica de Freamunde, Paços de Ferreira;Rua do Centro Escolar 39 ;4590 - 000 paços de ferreira;Freamunde;41.284252;-8.3465;42795
Escola Básica de Frechas, Mirandela;R. D. Manuel I   ;5370 - 135 frechas;Frechas;41.414333;-7.160715;407485
Escola Básica de Freiriz, Vila Verde;Lug. S. José Freiriz  ;4730 - 170 freiriz;S. José;41.64849;-8.50226;313460
Escola Básica de Freita, Marco de Canaveses;Freita  ;4630 - 390 marco de canaveses;Fornos;41.187084;-8.13309;1307478
Escola Básica de Freixieiro, Vila Nova de Gaia;Rua da Herdade  ;4430 - 429 vila nova de gaia;Freixieiro;41.116184;-8.57356;1317948
Escola Básica de Freixiel, Vila Flor;R. Do Palame  ;5360 - 062 freixiel;Freixiel;41.317516;-7.248577;410405
Escola Básica de Freixo de Cima, Amarante;Travessa das Escolas  ;4615 - 013 freixo de cima;Alto da Lixa;41.313618;-8.135909;1301812
Escola Básica de Freixo de Espada à Cinta;Lg Sarmento Rodrigues  ;5180 - 122 freixo de espada à cinta;Freixo de Espada à Cinta;41.091057;-6.8105373;404745
Escola Básica de Freixo de Numão, Vila Nova de Foz Côa;Rua Nossa Senhora da Carvalha  ;5155 - 220 freixo de numão;Freixo de Numão;41.066093;-7.2167625;914403
Escola Básica de Freixo, Freixo de Espada à Cinta;Lg. do Castanheiro  ;5180 - 115 freixo de espada à cinta;Freixo de Espada à Cinta;41.092293;-6.809012;404746
Escola Básica de Freixo, Ponte de Lima;Bouça de Rodas  ;4990 - 435 freixo ptl;Freixo;41.653667;-8.587749;1607471
Escola Básica de Frejufe, Silva Escura, Maia;R. de Frejufe  ;4475 - 829 maia;Silva Escura;41.2581;-8.587741;1306251
Escola Básica de Friestas, Valença; Rua Amaro da Costa - Trofa de Cima  ;4930 - 290 friestas;Friestas;42.04446;-8.5713;1608974
Escola Básica de Frossos, Braga;Rua da Escola  ;4700 - 152 braga;Frossos;41.562843;-8.451832;303551
Escola Básica de Fundo de Vila, São João da Madeira;Rua Cerqueira de vasconcelos  ;3700 - 081 são joão da madeira;S. João da Madeira;40.89;-8.496735;116045
Escola Básica de Fão, Esposende;Lugar da Arroteia  ;4740 - 357 fão;Fão;41.503242;-8.767766;296480
Escola Básica de Galegos - Santa Maria, Barcelos;Lugar da Igreja - Galegos S. ta Maria  ;4750 - 463 galegos (santa maria);Igreja;41.563442;-8.574365;302271
Escola Básica de Galegos - São Martinho, Barcelos;Lugar da Gandarinha - Galegos S. Martinho  ;4750 - 484 galegos (são martinho);Galegos S. Martinho;41.55682;-8.564185;302889
Escola Básica de Gamil, Barcelos;Lugar de Pena  ;4755 - 226 gamil;Gamil;41.51934;-8.595317;302231
Escola Básica de Gandarela, Guimarães;Rua Padre António Pereira da Silva  ;4835 - 574 gandarela;Agras;41.396008;-8.351642;308175
Escola Básica de Gandarela,Celorico de Basto;Gandarela  ;4890 - 542 basto (são clemente);Ribas;41.457226;-8.030159;305314
Escola Básica de Gandra, Ermesinde, Valongo;Rua de Cabinda  ;4445 - 359 ermesinde;Ermesinde;41.214516;-8.555578;1315542
Escola Básica de Gandra, Esposende;Rua José Azevedo dos Santos Portela  ;4740 - 474 esposende;Gandra;41.52134;-8.759138;306167
Escola Básica de Gandra, Gondomar;Rua Central de Ermentão  ;4420 - 154 gondomar;Gandra;41.130184;-8.541075;1304501
Escola Básica de Gandra, Marco de Canaveses;Várzea do Douro  ;4575 - 000 entre-os-rios;Gandra;41.079533;-8.268636;1307556
